model,seed,alpha,shield,kappa,v_scale,mean_drift,baseline_nll,n_prompts,elapsed_s,bank_col_sum_p99,bank_col_sum_p50,bank_col_sum_mean,attn_entropy_bank_mean,attn_entropy_native_mean,m_perp_energy_ratio_mean,residual_norm_p50,residual_norm_p99
Qwen/Qwen2.5-1.5B,0,0.5,True,1.0,False,2.72880707581838,2.876961366335551,30,30.88,416.77962036132794,23.07339572906494,49.58269500732422,2.109971046447754,2.5229427814483643,0.0,45.662811279296875,407.33556884765636
Qwen/Qwen2.5-1.5B,0,0.5,True,2.0,False,2.763723381360372,2.876961366335551,30,29.71,417.5157638549803,23.019306182861328,49.58741760253906,2.1091573238372803,2.526494026184082,0.0,45.67008399963379,409.7959442138672
Qwen/Qwen2.5-1.5B,0,0.5,True,4.0,False,2.874067187309265,2.876961366335551,30,30.55,416.7239828491189,22.881239891052246,49.53901672363281,2.1085433959960938,2.5321786403656006,0.0,45.67702102661133,410.1641598510743
Qwen/Qwen2.5-1.5B,0,0.5,False,1.0,True,3.3600651025772095,2.876961366335551,30,29.62,421.4890097045879,22.334729194641113,49.899478912353516,2.1082301139831543,2.5242836475372314,0.0,45.65013313293457,402.37386901855484
Qwen/Qwen2.5-1.5B,0,0.5,True,1.0,True,2.7031848351160686,2.876961366335551,30,29.9,417.5214553833,23.081703186035156,49.57676696777344,2.1103169918060303,2.5203795433044434,0.0,45.63602256774902,405.1161755371094
Qwen/Qwen2.5-1.5B,0,0.5,True,2.0,True,2.7216714302698772,2.876961366335551,30,30.06,417.34291076660156,23.05556297302246,49.5965461730957,2.1104748249053955,2.5204031467437744,0.0,45.66763687133789,406.21053344726573
Qwen/Qwen2.5-1.5B,0,0.5,True,4.0,True,2.7445021231969196,2.876961366335551,30,30.08,417.42422088623033,23.067904472351074,49.586448669433594,2.109718084335327,2.522977352142334,0.0,45.670677185058594,407.6151824951172
Qwen/Qwen2.5-1.5B,0,1.0,False,1.0,False,7.245432591438293,2.876961366335551,30,29.61,480.6557827758784,21.603163719177246,54.26712417602539,2.021928071975708,2.242586374282837,0.0,53.37089157104492,326.54109466552734
Qwen/Qwen2.5-1.5B,0,1.0,True,1.0,False,2.81430299282074,2.876961366335551,30,30.43,418.3165374755843,22.986056327819824,49.694522857666016,2.107029914855957,2.528679609298706,0.0,45.707275390625,410.64236022949257
Qwen/Qwen2.5-1.5B,0,1.0,True,2.0,False,2.979226247469584,2.876961366335551,30,29.78,420.01879333496026,22.78158187866211,49.7545280456543,2.102269172668457,2.539811134338379,0.0,45.79555130004883,409.2917184448243
Qwen/Qwen2.5-1.5B,0,1.0,True,4.0,False,3.2871127049128215,2.876961366335551,30,29.67,417.65555511474594,22.473554611206055,49.617610931396484,2.100231409072876,2.547374725341797,0.0,45.781822204589844,404.4866299438478
Qwen/Qwen2.5-1.5B,0,1.0,False,1.0,True,4.496140138308207,2.876961366335551,30,29.92,445.1577880859372,21.515583038330078,51.09797286987305,2.0822196006774902,2.4821369647979736,0.0,46.74943733215332,358.8723706054688
Qwen/Qwen2.5-1.5B,0,1.0,True,1.0,True,2.7342920223871867,2.876961366335551,30,29.15,416.38284545898426,23.0523624420166,49.58147430419922,2.109823226928711,2.522245168685913,0.0,45.64984703063965,407.4300424194337
Qwen/Qwen2.5-1.5B,0,1.0,True,2.0,True,2.7678558111190794,2.876961366335551,30,29.98,418.0280151367185,22.977800369262695,49.51787185668945,2.109174966812134,2.528357744216919,0.0,45.67229080200195,410.0629013061526
Qwen/Qwen2.5-1.5B,0,1.0,True,4.0,True,2.873085109392802,2.876961366335551,30,29.99,417.3761923217766,22.86266803741455,49.5164794921875,2.108736753463745,2.5332677364349365,0.0,45.68361854553223,411.089112854004
Qwen/Qwen2.5-1.5B,0,2.0,False,1.0,False,8.737657697995504,2.876961366335551,30,29.57,474.0132708740226,21.15039825439453,54.668453216552734,1.9917328357696533,2.637836456298828,0.0,80.65841293334961,354.3567044067383
Qwen/Qwen2.5-1.5B,0,2.0,True,1.0,False,3.204815077781677,2.876961366335551,30,29.93,416.00631591796866,22.70282554626465,50.03410339355469,2.0949013233184814,2.535761833190918,0.0,45.91883659362793,412.32767242431646
Qwen/Qwen2.5-1.5B,0,2.0,True,2.0,False,3.539428973197937,2.876961366335551,30,29.26,420.33126098632806,22.285305976867676,49.93568801879883,2.0911684036254883,2.5451793670654297,0.0,46.08789253234863,408.6169647216798
Qwen/Qwen2.5-1.5B,0,2.0,True,4.0,False,4.245773816108704,2.876961366335551,30,29.79,423.4312634277342,21.864127159118652,49.97545623779297,2.083059072494507,2.5315520763397217,0.0,46.57928276062012,377.72811798095717
